MARKS,,,,,Variables,,
Math Score,Reading Score,Writing Score,Total,Percentage,Gender,Parental Level of Education,
88,93,93,274,91.33,F,some college,C
63,57,56,176,58.67,M,high school,HS
83,80,73,236,78.67,M,some college,C
87,95,86,268,89.33,F,high school,HS
72,68,67,207,69,M,some high school,HS
65,77,74,216,72,M,some college,C
82,82,74,238,79.33,M,master's degree,MA
51,49,51,151,50.33,F,bachelor's degree,BA
89,84,82,255,85,M,master's degree,MA
53,37,40,130,43.33,M,some high school,HS
87,74,70,231,77,M,some college,C
75,81,84,240,80,F,some college,C
74,79,75,228,76,M,bachelor's degree,BA
58,55,48,161,53.67,M,bachelor's degree,BA
51,54,41,146,48.67,M,some high school,HS
70,55,56,181,60.33,M,high school,HS
59,66,67,192,64,F,associate's degree,AA
71,61,69,201,67,M,some college,C
76,72,71,219,73,F,some high school,HS
59,62,64,185,61.67,F,some college,C
42,55,54,151,50.33,F,some college,C
57,43,47,147,49,M,high school,HS
88,73,78,239,79.67,M,some college,C
22,39,33,94,31.33,F,some college,C
88,84,75,247,82.33,M,some high school,HS
73,68,66,207,69,M,associate's degree,AA
68,75,81,224,74.67,F,bachelor's degree,BA
100,100,93,293,97.67,M,associate's degree,AA
62,67,69,198,66,M,some high school,HS
77,67,68,212,70.67,M,bachelor's degree,BA
59,70,66,195,65,F,associate's degree,AA
54,49,47,150,50,M,bachelor's degree,BA
62,67,61,190,63.33,M,some high school,HS
70,89,88,247,82.33,F,some college,C
66,74,78,218,72.67,F,high school,HS
60,60,60,180,60,M,some college,C
61,86,87,234,78,F,associate's degree,AA
66,62,64,192,64,M,associate's degree,AA
82,78,74,234,78,M,associate's degree,AA
75,88,85,248,82.67,F,some college,C
49,53,52,154,51.33,M,master's degree,MA
52,53,49,154,51.33,M,high school,HS
81,92,91,264,88,F,master's degree,MA
96,100,100,296,98.67,F,bachelor's degree,BA
53,51,51,155,51.67,M,high school,HS
58,76,78,212,70.67,F,master's degree,MA
68,83,78,229,76.33,F,high school,HS
67,75,70,212,70.67,F,some college,C
72,73,74,219,73,M,high school,HS
94,88,78,260,86.67,M,some high school,HS
79,86,81,246,82,F,some college,C
63,67,70,200,66.67,F,associate's degree,AA
43,51,54,148,49.33,F,bachelor's degree,BA
81,91,87,259,86.33,F,master's degree,MA
46,54,58,158,52.67,F,high school,HS
71,77,77,225,75,F,associate's degree,AA
52,70,62,184,61.33,F,master's degree,MA
97,100,100,297,99,F,some high school,HS
62,68,75,205,68.33,M,master's degree,MA
46,64,66,176,58.67,F,some college,C
50,50,47,147,49,F,high school,HS
65,69,70,204,68,F,associate's degree,AA
45,52,49,146,48.67,M,some high school,HS
65,67,65,197,65.67,M,associate's degree,AA
80,76,65,221,73.67,M,high school,HS
62,66,68,196,65.33,M,some high school,HS
48,52,45,145,48.33,M,some high school,HS
77,88,87,252,84,F,bachelor's degree,BA
66,65,69,200,66.67,F,associate's degree,AA
76,83,79,238,79.33,M,some college,C
62,64,66,192,64,F,some high school,HS
77,62,62,201,67,M,some college,C
69,84,85,238,79.33,F,master's degree,MA
61,55,52,168,56,M,associate's degree,AA
59,69,65,193,64.33,M,some high school,HS
55,56,51,162,54,M,high school,HS
45,53,55,153,51,F,some college,C
78,79,76,233,77.67,F,bachelor's degree,BA
67,84,86,237,79,F,associate's degree,AA
65,81,77,223,74.33,F,some college,C
69,77,69,215,71.67,M,associate's degree,AA
57,69,68,194,64.67,F,associate's degree,AA
59,41,42,142,47.33,M,some college,C
74,71,78,223,74.33,M,some high school,HS
82,62,62,206,68.67,M,bachelor's degree,BA
81,80,76,237,79,M,high school,HS
74,81,76,231,77,F,some college,C
58,61,66,185,61.67,F,some college,C
80,79,79,238,79.33,M,some high school,HS
35,28,27,90,30,M,some college,C
42,62,60,164,54.67,F,high school,HS
60,51,56,167,55.67,M,associate's degree,AA
87,91,81,259,86.33,M,high school,HS
84,83,75,242,80.67,M,some high school,HS
83,86,88,257,85.67,F,associate's degree,AA
34,42,39,115,38.33,F,high school,HS
66,77,70,213,71,M,high school,HS
61,56,56,173,57.67,M,some high school,HS
56,68,74,198,66,F,high school,HS
87,85,73,245,81.67,M,associate's degree,AA
55,65,62,182,60.67,F,some high school,HS
86,80,75,241,80.33,M,some high school,HS
52,66,73,191,63.67,F,associate's degree,AA
45,56,54,155,51.67,F,master's degree,MA
72,72,71,215,71.67,F,some college,C
57,50,54,161,53.67,M,high school,HS
68,72,64,204,68,M,some high school,HS
88,95,94,277,92.33,F,some college,C
76,64,66,206,68.67,M,some college,C
46,43,42,131,43.67,M,associate's degree,AA
67,86,83,236,78.67,F,bachelor's degree,BA
92,87,78,257,85.67,M,some high school,HS
83,82,84,249,83,M,bachelor's degree,BA
80,75,77,232,77.33,M,associate's degree,AA
63,66,67,196,65.33,M,bachelor's degree,BA
64,60,74,198,66,F,some high school,HS
54,52,51,157,52.33,M,some college,C
84,80,80,244,81.33,M,associate's degree,AA
73,68,66,207,69,M,high school,HS
80,83,83,246,82,F,bachelor's degree,BA
56,52,55,163,54.33,F,high school,HS
59,51,43,153,51,M,some college,C
75,74,69,218,72.67,M,some high school,HS
85,76,71,232,77.33,M,associate's degree,AA
89,76,74,239,79.67,M,associate's degree,AA
58,70,68,196,65.33,F,high school,HS
65,64,62,191,63.67,F,high school,HS
68,60,53,181,60.33,M,high school,HS
47,49,49,145,48.33,M,some high school,HS
71,83,83,237,79,F,some college,C
60,70,70,200,66.67,F,some high school,HS
80,80,72,232,77.33,M,master's degree,MA
54,52,52,158,52.67,M,high school,HS
62,73,70,205,68.33,F,some college,C
64,73,68,205,68.33,F,associate's degree,AA
78,77,77,232,77.33,M,associate's degree,AA
70,75,78,223,74.33,F,some college,C
65,81,81,227,75.67,F,master's degree,MA
64,79,77,220,73.33,F,some high school,HS
79,79,78,236,78.67,M,some college,C
44,50,51,145,48.33,F,some high school,HS
99,93,90,282,94,F,high school,HS
76,73,68,217,72.33,M,high school,HS
59,42,41,142,47.33,M,some high school,HS
63,75,81,219,73,F,bachelor's degree,BA
69,72,77,218,72.67,F,high school,HS
88,92,95,275,91.67,F,associate's degree,AA
71,76,70,217,72.33,F,some college,C
69,63,61,193,64.33,M,bachelor's degree,BA
58,49,42,149,49.67,M,some college,C
47,53,58,158,52.67,F,associate's degree,AA
65,70,71,206,68.67,F,some college,C
88,85,76,249,83,M,some college,C
83,78,73,234,78,M,bachelor's degree,BA
85,92,93,270,90,F,some high school,HS
59,63,75,197,65.67,F,high school,HS
65,86,80,231,77,F,some high school,HS
73,56,57,186,62,M,bachelor's degree,BA
53,52,42,147,49,M,high school,HS
45,48,46,139,46.33,M,high school,HS
73,79,84,236,78.67,F,bachelor's degree,BA
70,78,78,226,75.33,F,some college,C
37,46,46,129,43,F,some high school,HS
81,82,82,245,81.67,M,associate's degree,AA
97,82,88,267,89,M,associate's degree,AA
67,89,82,238,79.33,F,some high school,HS
88,75,76,239,79.67,M,bachelor's degree,BA
77,76,77,230,76.67,M,some high school,HS
76,70,68,214,71.33,M,associate's degree,AA
86,73,70,229,76.33,M,some high school,HS
63,60,57,180,60,M,some high school,HS
65,73,75,213,71,F,bachelor's degree,BA
78,77,80,235,78.33,M,high school,HS
67,62,60,189,63,M,associate's degree,AA
46,41,43,130,43.33,M,some high school,HS
71,74,68,213,71,M,associate's degree,AA
40,46,50,136,45.33,M,high school,HS
90,87,75,252,84,M,associate's degree,AA
81,78,81,240,80,M,some college,C
56,54,52,162,54,M,some high school,HS
67,84,81,232,77.33,F,associate's degree,AA
80,76,64,220,73.33,M,associate's degree,AA
74,75,83,232,77.33,F,associate's degree,AA
69,67,69,205,68.33,M,some college,C
99,87,81,267,89,M,some college,C
51,52,44,147,49,M,some high school,HS
53,71,67,191,63.67,F,associate's degree,AA
49,57,52,158,52.67,F,high school,HS
73,76,80,229,76.33,F,associate's degree,AA
66,60,57,183,61,M,bachelor's degree,BA
67,61,68,196,65.33,M,bachelor's degree,BA
68,67,69,204,68,F,associate's degree,AA
59,64,75,198,66,F,bachelor's degree,BA
71,66,65,202,67.33,M,high school,HS
77,82,91,250,83.33,F,master's degree,MA
83,72,78,233,77.67,M,associate's degree,AA
63,71,69,203,67.67,M,bachelor's degree,BA
56,65,63,184,61.33,F,associate's degree,AA
67,79,84,230,76.67,F,high school,HS
75,86,79,240,80,F,high school,HS
71,81,80,232,77.33,F,some college,C
43,53,53,149,49.67,F,some high school,HS
41,46,43,130,43.33,F,high school,HS
82,90,94,266,88.67,F,some college,C
61,61,62,184,61.33,M,some college,C
28,23,19,70,23.33,M,some college,C
82,75,77,234,78,M,associate's degree,AA
41,55,51,147,49,F,some high school,HS
71,60,61,192,64,M,high school,HS
47,37,35,119,39.67,M,associate's degree,AA
62,56,53,171,57,M,associate's degree,AA
90,78,81,249,83,M,associate's degree,AA
83,93,95,271,90.33,F,bachelor's degree,BA
61,68,66,195,65,F,some college,C
76,70,69,215,71.67,M,some high school,HS
49,51,43,143,47.67,M,associate's degree,AA
24,38,27,89,29.67,F,some high school,HS
35,55,60,150,50,F,some high school,HS
58,61,52,171,57,M,high school,HS
61,73,63,197,65.67,F,high school,HS
69,76,74,219,73,F,high school,HS
67,72,67,206,68.67,M,associate's degree,AA
79,73,67,219,73,M,some college,C
72,80,75,227,75.67,F,high school,HS
62,61,57,180,60,M,some college,C
77,94,95,266,88.67,F,bachelor's degree,BA
75,74,66,215,71.67,M,high school,HS
87,74,76,237,79,M,associate's degree,AA
52,65,69,186,62,F,bachelor's degree,BA
66,57,52,175,58.33,M,some college,C
63,78,80,221,73.67,F,some college,C
46,58,57,161,53.67,F,associate's degree,AA
59,71,70,200,66.67,F,some college,C
61,72,70,203,67.67,F,bachelor's degree,BA
63,61,61,185,61.67,M,associate's degree,AA
42,66,69,177,59,F,some college,C
59,62,61,182,60.67,M,some college,C
80,90,89,259,86.33,F,some college,C
58,62,59,179,59.67,F,high school,HS
85,84,78,247,82.33,M,some high school,HS
52,58,58,168,56,F,some college,C
27,34,32,93,31,F,some high school,HS
59,60,58,177,59,M,some college,C
49,58,60,167,55.67,M,bachelor's degree,BA
69,58,53,180,60,M,high school,HS
61,66,61,188,62.67,M,bachelor's degree,BA
44,64,58,166,55.33,F,some high school,HS
73,84,85,242,80.67,F,some high school,HS
84,77,71,232,77.33,M,some college,C
45,73,70,188,62.67,F,some college,C
74,74,72,220,73.33,M,some high school,HS
82,97,96,275,91.67,F,some college,C
59,70,73,202,67.33,F,bachelor's degree,BA
46,43,41,130,43.33,M,associate's degree,AA
80,90,82,252,84,F,some high school,HS
85,95,100,280,93.33,F,master's degree,MA
71,83,77,231,77,F,some high school,HS
66,64,62,192,64,M,bachelor's degree,BA
80,86,83,249,83,F,associate's degree,AA
87,100,95,282,94,M,associate's degree,AA
79,81,71,231,77,M,master's degree,MA
38,49,45,132,44,F,some high school,HS
38,43,43,124,41.33,F,some high school,HS
67,76,75,218,72.67,F,some college,C
64,73,70,207,69,F,bachelor's degree,BA
57,78,67,202,67.33,F,associate's degree,AA
62,64,64,190,63.33,F,high school,HS
73,70,75,218,72.67,M,master's degree,MA
73,67,59,199,66.33,M,some high school,HS
77,68,77,222,74,F,some college,C
76,67,67,210,70,M,some college,C
57,54,56,167,55.67,M,associate's degree,AA
65,74,77,216,72,F,some high school,HS
48,45,41,134,44.67,M,high school,HS
50,67,63,180,60,F,high school,HS
85,89,95,269,89.67,F,associate's degree,AA
74,63,57,194,64.67,M,some high school,HS
60,59,54,173,57.67,M,some high school,HS
59,54,67,180,60,F,some high school,HS
53,43,43,139,46.33,M,some college,C
49,65,55,169,56.33,F,some college,C
88,99,100,287,95.67,F,high school,HS
54,59,62,175,58.33,F,high school,HS
63,73,68,204,68,F,some high school,HS
65,65,63,193,64.33,M,associate's degree,AA
82,80,77,239,79.67,F,associate's degree,AA
52,57,56,165,55,F,high school,HS
87,84,85,256,85.33,M,associate's degree,AA
70,71,74,215,71.67,F,master's degree,MA
84,83,78,245,81.67,M,some college,C
71,66,60,197,65.67,M,associate's degree,AA
63,67,67,197,65.67,M,some high school,HS
51,72,79,202,67.33,F,bachelor's degree,BA
84,73,69,226,75.33,M,high school,HS
71,74,68,213,71,M,bachelor's degree,BA
74,73,67,214,71.33,M,associate's degree,AA
68,59,62,189,63,M,some college,C
57,56,54,167,55.67,M,high school,HS
82,93,93,268,89.33,F,associate's degree,AA
57,58,64,179,59.67,F,high school,HS
47,58,67,172,57.33,F,master's degree,MA
59,85,80,224,74.67,F,some high school,HS
41,39,34,114,38,M,some college,C
62,67,62,191,63.67,F,some college,C
86,83,86,255,85,M,bachelor's degree,BA
69,71,65,205,68.33,M,some high school,HS
65,59,53,177,59,M,some high school,HS
68,63,54,185,61.67,M,some high school,HS
64,66,59,189,63,M,associate's degree,AA
61,72,70,203,67.67,F,high school,HS
61,56,55,172,57.33,M,high school,HS
47,59,50,156,52,F,some high school,HS
73,66,66,205,68.33,M,some high school,HS
50,48,53,151,50.33,M,some college,C
75,68,64,207,69,M,associate's degree,AA
75,66,73,214,71.33,M,associate's degree,AA
70,56,51,177,59,M,high school,HS
89,88,82,259,86.33,M,some high school,HS
67,81,79,227,75.67,F,some college,C
78,81,80,239,79.67,F,high school,HS
59,73,69,201,67,F,some high school,HS
73,83,76,232,77.33,F,associate's degree,AA
79,82,73,234,78,M,some high school,HS
67,74,77,218,72.67,F,some high school,HS
69,66,60,195,65,M,some college,C
86,81,80,247,82.33,M,high school,HS
47,46,42,135,45,M,high school,HS
81,73,72,226,75.33,M,associate's degree,AA
64,85,85,234,78,F,some college,C
100,92,97,289,96.33,F,some college,C
65,77,74,216,72,F,associate's degree,AA
65,58,49,172,57.33,M,some college,C
53,61,62,176,58.67,F,associate's degree,AA
37,56,47,140,46.67,M,bachelor's degree,BA
79,89,89,257,85.67,F,bachelor's degree,BA
53,54,48,155,51.67,M,associate's degree,AA
100,100,100,300,100,F,bachelor's degree,BA
72,65,68,205,68.33,M,high school,HS
53,58,55,166,55.33,M,bachelor's degree,BA
54,54,45,153,51,M,some college,C
71,70,76,217,72.33,F,some college,C
77,90,91,258,86,F,some college,C
75,58,62,195,65,M,bachelor's degree,BA
84,87,91,262,87.33,F,some college,C
26,31,38,95,31.67,F,associate's degree,AA
72,67,65,204,68,M,high school,HS
77,88,85,250,83.33,F,high school,HS
91,74,76,241,80.33,M,some college,C
83,85,90,258,86,F,associate's degree,AA
63,69,74,206,68.67,F,high school,HS
68,86,84,238,79.33,F,associate's degree,AA
59,67,61,187,62.33,F,some high school,HS
90,90,91,271,90.33,F,associate's degree,AA
71,76,83,230,76.67,F,bachelor's degree,BA
76,62,66,204,68,M,bachelor's degree,BA
80,68,72,220,73.33,M,associate's degree,AA
55,64,70,189,63,F,master's degree,MA
76,71,67,214,71.33,M,associate's degree,AA
73,71,68,212,70.67,M,high school,HS
52,59,56,167,55.67,F,associate's degree,AA
68,68,61,197,65.67,M,some college,C
59,52,46,157,52.33,M,high school,HS
49,52,54,155,51.67,F,associate's degree,AA
70,74,71,215,71.67,M,high school,HS
61,47,56,164,54.67,M,some college,C
60,75,74,209,69.67,F,associate's degree,AA
64,53,57,174,58,M,some high school,HS
79,82,82,243,81,M,associate's degree,AA
65,85,76,226,75.33,F,associate's degree,AA
64,64,70,198,66,F,associate's degree,AA
83,83,90,256,85.33,F,some college,C
81,88,90,259,86.33,F,bachelor's degree,BA
54,64,68,186,62,F,high school,HS
68,64,66,198,66,M,high school,HS
54,48,52,154,51.33,F,some college,C
59,78,76,213,71,F,some college,C
66,69,68,203,67.67,F,some high school,HS
76,71,72,219,73,M,some college,C
74,79,82,235,78.33,F,master's degree,MA
94,87,92,273,91,F,associate's degree,AA
63,61,54,178,59.33,M,some college,C
95,89,92,276,92,F,associate's degree,AA
40,59,54,153,51,F,master's degree,MA
82,82,80,244,81.33,F,some high school,HS
68,70,66,204,68,M,high school,HS
55,59,54,168,56,M,bachelor's degree,BA
79,78,77,234,78,M,master's degree,MA
86,92,87,265,88.33,F,bachelor's degree,BA
76,71,73,220,73.33,M,some college,C
64,50,43,157,52.33,M,some high school,HS
62,49,52,163,54.33,M,some high school,HS
54,61,62,177,59,F,some high school,HS
77,97,94,268,89.33,F,master's degree,MA
76,87,85,248,82.67,F,some high school,HS
74,89,84,247,82.33,F,some college,C
66,74,73,213,71,F,some college,C
66,78,78,222,74,F,some high school,HS
67,78,79,224,74.67,F,high school,HS
71,49,52,172,57.33,M,some college,C
91,86,84,261,87,F,associate's degree,AA
69,58,57,184,61.33,M,bachelor's degree,BA
54,59,50,163,54.33,M,master's degree,MA
53,52,49,154,51.33,M,high school,HS
68,60,59,187,62.33,M,some college,C
56,61,60,177,59,M,some high school,HS
36,53,43,132,44,F,high school,HS
29,41,47,117,39,F,bachelor's degree,BA
62,74,70,206,68.67,F,associate's degree,AA
68,67,73,208,69.33,F,associate's degree,AA
47,54,53,154,51.33,F,some high school,HS
62,61,58,181,60.33,M,associate's degree,AA
79,88,94,261,87,F,associate's degree,AA
73,69,68,210,70,M,high school,HS
66,83,83,232,77.33,F,bachelor's degree,BA
51,60,58,169,56.33,M,associate's degree,AA
51,66,62,179,59.67,F,high school,HS
85,66,71,222,74,M,bachelor's degree,BA
97,92,86,275,91.67,M,associate's degree,AA
75,69,68,212,70.67,M,high school,HS
79,82,80,241,80.33,M,associate's degree,AA
81,77,79,237,79,F,associate's degree,AA
82,95,89,266,88.67,F,associate's degree,AA
64,63,66,193,64.33,F,master's degree,MA
78,83,80,241,80.33,M,some high school,HS
92,100,97,289,96.33,F,some high school,HS
72,67,64,203,67.67,M,high school,HS
62,67,64,193,64.33,F,high school,HS
79,72,69,220,73.33,M,master's degree,MA
79,76,65,220,73.33,M,some high school,HS
87,90,88,265,88.33,M,bachelor's degree,BA
40,48,50,138,46,F,associate's degree,AA
77,62,64,203,67.67,M,some college,C
53,45,40,138,46,M,associate's degree,AA
32,39,33,104,34.67,F,some college,C
55,72,79,206,68.67,F,associate's degree,AA
61,67,66,194,64.67,M,master's degree,MA
53,70,70,193,64.33,F,associate's degree,AA
73,66,62,201,67,M,some high school,HS
74,75,79,228,76,F,some college,C
63,74,74,211,70.33,F,some college,C
96,90,92,278,92.67,M,bachelor's degree,BA
63,80,80,223,74.33,F,some college,C
48,51,46,145,48.33,M,bachelor's degree,BA
48,43,45,136,45.33,M,associate's degree,AA
92,100,100,292,97.33,F,bachelor's degree,BA
61,71,78,210,70,F,master's degree,MA
63,48,47,158,52.67,M,high school,HS
68,68,67,203,67.67,M,bachelor's degree,BA
71,75,70,216,72,M,some college,C
91,96,92,279,93,M,bachelor's degree,BA
53,62,56,171,57,F,some college,C
50,66,64,180,60,F,high school,HS
74,81,71,226,75.33,F,high school,HS
40,55,53,148,49.33,M,associate's degree,AA
61,51,52,164,54.67,M,some college,C
81,91,89,261,87,F,high school,HS
48,56,58,162,54,F,some college,C
53,61,68,182,60.67,F,master's degree,MA
81,97,96,274,91.33,F,some high school,HS
77,79,80,236,78.67,F,some high school,HS
63,73,78,214,71.33,F,bachelor's degree,BA
73,75,80,228,76,F,associate's degree,AA
69,77,77,223,74.33,F,some college,C
65,76,76,217,72.33,F,associate's degree,AA
55,73,73,201,67,F,high school,HS
44,63,62,169,56.33,F,bachelor's degree,BA
54,64,65,183,61,F,some college,C
48,66,65,179,59.67,F,some high school,HS
58,57,54,169,56.33,M,some college,C
71,62,50,183,61,M,some high school,HS
68,68,64,200,66.67,M,bachelor's degree,BA
74,76,73,223,74.33,F,high school,HS
92,100,99,291,97,F,bachelor's degree,BA
56,79,72,207,69,F,bachelor's degree,BA
30,24,15,69,23,M,high school,HS
53,54,48,155,51.67,M,some high school,HS
69,77,73,219,73,F,high school,HS
65,82,81,228,76,F,some high school,HS
54,60,63,177,59,F,master's degree,MA
29,29,30,88,29.33,F,high school,HS
76,78,80,234,78,F,some college,C
60,57,51,168,56,M,high school,HS
84,89,90,263,87.67,M,master's degree,MA
75,72,62,209,69.67,M,some high school,HS
85,84,82,251,83.67,F,associate's degree,AA
40,58,54,152,50.67,F,master's degree,MA
61,64,62,187,62.33,F,some college,C
58,63,65,186,62,F,associate's degree,AA
69,60,63,192,64,M,some college,C
58,59,66,183,61,F,some college,C
94,90,91,275,91.67,M,bachelor's degree,BA
82,93,93,268,89.33,F,associate's degree,AA
60,68,72,200,66.67,F,high school,HS
37,45,38,120,40,F,bachelor's degree,BA
88,78,83,249,83,M,bachelor's degree,BA
95,81,84,260,86.67,M,master's degree,MA
65,73,68,206,68.67,M,associate's degree,AA
35,61,54,150,50,F,high school,HS
62,63,56,181,60.33,M,bachelor's degree,BA
58,51,52,161,53.67,M,high school,HS
100,96,86,282,94,M,some college,C
61,58,62,181,60.33,F,bachelor's degree,BA
100,97,99,296,98.67,M,some college,C
69,70,63,202,67.33,M,associate's degree,AA
61,48,46,155,51.67,M,associate's degree,AA
49,57,46,152,50.67,M,some college,C
44,51,55,150,50,F,some high school,HS
67,64,70,201,67,M,some college,C
79,60,65,204,68,M,high school,HS
66,74,81,221,73.67,F,bachelor's degree,BA
75,88,85,248,82.67,F,high school,HS
84,84,80,248,82.67,M,some high school,HS
71,74,64,209,69.67,M,high school,HS
67,80,81,228,76,F,high school,HS
80,92,88,260,86.67,F,some high school,HS
86,76,74,236,78.67,M,some college,C
76,74,73,223,74.33,F,associate's degree,AA
41,52,51,144,48,M,high school,HS
74,88,90,252,84,F,associate's degree,AA
72,81,79,232,77.33,F,some high school,HS
74,79,80,233,77.67,F,high school,HS
70,65,60,195,65,M,high school,HS
65,81,81,227,75.67,F,bachelor's degree,BA
59,70,65,194,64.67,F,associate's degree,AA
64,62,68,194,64.67,F,high school,HS
50,53,55,158,52.67,F,high school,HS
69,79,81,229,76.33,F,some college,C
51,56,53,160,53.33,M,some high school,HS
68,80,76,224,74.67,F,high school,HS
85,86,98,269,89.67,F,some college,C
65,70,74,209,69.67,F,associate's degree,AA
73,79,79,231,77,F,some high school,HS
62,67,67,196,65.33,F,some college,C
77,67,64,208,69.33,M,associate's degree,AA
69,66,61,196,65.33,M,some high school,HS
43,60,58,161,53.67,F,associate's degree,AA
90,87,85,262,87.33,M,associate's degree,AA
74,77,73,224,74.67,M,some college,C
73,66,63,202,67.33,M,some high school,HS
55,71,69,195,65,F,some college,C
65,69,67,201,67,F,high school,HS
80,63,63,206,68.67,M,associate's degree,AA
50,60,60,170,56.67,F,some high school,HS
63,73,71,207,69,F,some college,C
77,85,87,249,83,F,bachelor's degree,BA
73,74,61,208,69.33,M,some college,C
81,72,77,230,76.67,M,associate's degree,AA
66,76,68,210,70,F,high school,HS
